Pago
1,2000
2,0
3,1000
4,0
5,0
6,0
7,0
8,0
9,1000
10,0
11,500
12,1000
13,0
14,2000
15,0
16,0
17,0
18,0
19,0
20,1000
21,0
22,500
23,1000
24,0
25,0
26,0
27,2000
28,2000
29,0
30,5000
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,500
46,0
47,0
48,0
49,0
50,0
51,500
52,500
53,0
54,0
55,0
56,0
57,0
58,0
59,2000
60,500
61,2000
62,0
63,500
64,500
65,1000
66,1000
67,0
68,500
69,0
70,1000
71,0
72,1000
73,5000
74,0
75,500
76,0
77,500
78,0
79,500
80,0
81,500
82,0
83,1000
84,500
85,0
86,0
87,0
88,0
89,0
90,0
91,500
92,0
93,0
94,500
95,0
96,0
97,0
98,1000
99,0
100,0
101,0
102,1000
103,0
104,500
105,500
106,0
107,0
108,500
109,1000
110,2000
111,1000
112,0
113,0
114,0
115,0
116,0
117,0
118,500
119,0
120,5000
121,1000
122,500
123,0
124,0
125,500
126,500
127,0
128,2000
129,0
130,0
131,0
132,0
133,500
134,0
135,0
136,0
137,0
138,5000
139,0
140,0
141,0
142,0
143,500
144,500
145,0
146,0
147,5000
148,500
149,0
150,0
151,500
152,2000
153,1000
154,0
155,0
156,500
157,0
158,500
159,0
160,5000
161,1000
162,2000
163,0
164,0
165,0
166,0
167,500
168,0
169,0
170,500
171,0
172,1000
173,0
174,500
175,500
176,0
177,0
178,0
179,0
180,0
181,1000
182,0
183,0
184,0
185,500
186,0
187,500
188,0
189,0
190,500
191,1000
192,0
193,0
194,500
195,500
196,0
197,0
198,0
199,0
200,0
201,1000
202,0
203,0
204,1000
205,0
206,1000
207,500
208,0
209,0
210,0
211,0
212,0
213,1000
214,0
215,1000
216,0
217,500
218,500
219,0
220,0
221,0
222,0
223,2000
224,0
225,500
226,0
227,0
228,5000
229,0
230,0
231,0
232,1000
233,500
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,500
246,1000
247,0
248,0
249,1000
250,1000
251,0
252,0
253,500
254,500
255,0
256,0
257,0
258,0
259,500
260,5000
261,0
262,500
263,2000
264,500
265,500
266,0
267,0
268,2000
269,0
270,500
271,0
272,0
273,0
274,500
275,0
276,0
277,0
278,500
279,0
280,1000
281,0
282,500
283,0
284,0
285,0
286,500
287,0
288,2000
289,0
290,0
291,0
292,0
293,0
294,1000
295,0
296,0
297,0
298,0
299,0
300,0
